day_of_year,year,fact_fragment,fact_statement,was_submitted
25,1792,the London Corresponding Society is founded,January 25 is the day in 1792 that the London Corresponding Society is founded.,False
25,1858,"the Wedding March by Felix Mendelssohn becomes a popular wedding recessional after it is played on this day at the marriage of Queen Victoria's daughter, Victoria, and Friedrich of Prussia","January 25 is the day in 1858 that the Wedding March by Felix Mendelssohn becomes a popular wedding recessional after it is played on this day at the marriage of Queen Victoria's daughter, Victoria, and Friedrich of Prussia.",False
25,1879,the Bulgarian National Bank is founded,January 25 is the day in 1879 that the Bulgarian National Bank is founded.,False
25,1881,Thomas Edison and Alexander Graham Bell form the Oriental Telephone Company,January 25 is the day in 1881 that Thomas Edison and Alexander Graham Bell form the Oriental Telephone Company.,False
25,1890,Nellie Bly completes her round-the-world journey in 72 days,January 25 is the day in 1890 that Nellie Bly completes her round-the-world journey in 72 days.,False
25,1909,Richard Strauss's opera Elektra receives its debut performance at the Dresden State Opera,January 25 is the day in 1909 that Richard Strauss's opera Elektra receives its debut performance at the Dresden State Opera.,False
25,1915,"Alexander Graham Bell inaugurates U.S. transcontinental telephone service, speaking from New York to Thomas Watson in San Francisco","January 25 is the day in 1915 that Alexander Graham Bell inaugurates U.S. transcontinental telephone service, speaking from New York to Thomas Watson in San Francisco.",False
25,1918,ukraine declares independence from Bolshevik Russia,January 25 is the day in 1918 that ukraine declares independence from Bolshevik Russia.,False
25,1919,the League of Nations is founded,January 25 is the day in 1919 that the League of Nations is founded.,False
25,1924,"the 1924 Winter Olympics opens in Chamonix, France (in the French Alps), inaugurating the Winter Olympic Games","January 25 is the day in 1924 that the 1924 Winter Olympics opens in Chamonix, France (in the French Alps), inaugurating the Winter Olympic Games.",False
25,1937,the Guiding Light debuts on NBC radio from Chicago,January 25 is the day in 1937 that the Guiding Light debuts on NBC radio from Chicago.,False
25,1941,Pope Pius XII elevates the Apostolic Vicariate of the Hawaiian Islands to the dignity of a diocese,January 25 is the day in 1941 that Pope Pius XII elevates the Apostolic Vicariate of the Hawaiian Islands to the dignity of a diocese.,False
25,1946,the United Mine Workers rejoins the American Federation of Labor,January 25 is the day in 1946 that the United Mine Workers rejoins the American Federation of Labor.,False
25,1955,the Soviet Union ends state of war with Germany,January 25 is the day in 1955 that the Soviet Union ends state of war with Germany.,False
25,1960,the National Association of Broadcasters reacts to the Payola scandal by threatening fines for any disc jockeys who accept money for playing particular records,January 25 is the day in 1960 that the National Association of Broadcasters reacts to the Payola scandal by threatening fines for any disc jockeys who accept money for playing particular records.,False
25,1971,"Charles Manson and three female ""Family"" members are found guilty of the 1969 Tate-LaBianca murders","January 25 is the day in 1971 that Charles Manson and three female ""Family"" members are found guilty of the 1969 Tate-LaBianca murders.",False
25,1971,Idi Amin leads a coup deposing Milton Obote and becomes Uganda's president,January 25 is the day in 1971 that Idi Amin leads a coup deposing Milton Obote and becomes Uganda's president.,False
25,1971,Himachal Pradesh becomes the 18th Indian state,January 25 is the day in 1971 that Himachal Pradesh becomes the 18th Indian state.,False
25,1981,"Jiang Qing, the widow of Mao Zedong, is sentenced to death","January 25 is the day in 1981 that Jiang Qing, the widow of Mao Zedong, is sentenced to death.",False
25,1986,the National Resistance Movement topples the government of Tito Okello in Uganda,January 25 is the day in 1986 that the National Resistance Movement topples the government of Tito Okello in Uganda.,False
25,1990,the Burns' Day storm hits northwestern Europe,January 25 is the day in 1990 that the Burns' Day storm hits northwestern Europe.,False
25,1994,the Clementine space probe launches,January 25 is the day in 1994 that the Clementine space probe launches.,False
25,1999,"a 6.0 Richter scale earthquake hits western Colombia killing at least 1,000","January 25 is the day in 1999 that a 6.0 Richter scale earthquake hits western Colombia killing at least 1,000.",False
25,2001,"a 50-year-old Douglas DC-3 crashes near Ciudad Bolivar, Venezuela killing 24","January 25 is the day in 2001 that a 50-year-old Douglas DC-3 crashes near Ciudad Bolivar, Venezuela killing 24.",False
25,2006,mexican professional wrestler Juana Barraza is arrested in conjunction with the serial killing of at least 10 elderly women,January 25 is the day in 2006 that mexican professional wrestler Juana Barraza is arrested in conjunction with the serial killing of at least 10 elderly women.,False
25,2011,"the first wave of the Egyptian revolution begins in Egypt, with a series of street demonstrations, marches, rallies, acts of civil disobedience, riots, labour strikes, and violent clashes in Cairo, Alexandria, and throughout other cities in Egypt","January 25 is the day in 2011 that the first wave of the Egyptian revolution begins in Egypt, with a series of street demonstrations, marches, rallies, acts of civil disobedience, riots, labour strikes, and violent clashes in Cairo, Alexandria, and throughout other cities in Egypt.",False
26,1500,Vicente Yáñez Pinzón becomes the first European to set foot on Brazil,January 26 is the day in 1500 that Vicente Yáñez Pinzón becomes the first European to set foot on Brazil.,False
26,1531,"Lisbon, Portugal is hit by an earthquake--thousands die","January 26 is the day in 1531 that Lisbon, Portugal is hit by an earthquake--thousands die.",False
26,1564,"the Council of Trent issues its conclusions in the Tridentinum, establishing a distinction between Roman Catholicism and Protestantism","January 26 is the day in 1564 that the Council of Trent issues its conclusions in the Tridentinum, establishing a distinction between Roman Catholicism and Protestantism.",False
26,1564,the Grand Duchy of Lithuania defeats the Tsardom of Russia in the Battle of Ula during the Livonian War,January 26 is the day in 1564 that the Grand Duchy of Lithuania defeats the Tsardom of Russia in the Battle of Ula during the Livonian War.,False
26,1565,"Battle of Talikota, fought between the Vijayanagara Empire and the Islamic sultanates of the Deccan, leads to the subjugation, and eventual destruction of the last Hindu kingdom in India, and the consolidation of Islamic rule over much of the Indian subcontinent","January 26 is the day in 1565 that Battle of Talikota, fought between the Vijayanagara Empire and the Islamic sultanates of the Deccan, leads to the subjugation, and eventual destruction of the last Hindu kingdom in India, and the consolidation of Islamic rule over much of the Indian subcontinent.",False
26,1589,Job is elected as Patriarch of Moscow and All Russia,January 26 is the day in 1589 that Job is elected as Patriarch of Moscow and All Russia.,False
26,1699,treaty of Carlowitz is signed,January 26 is the day in 1699 that treaty of Carlowitz is signed.,False
26,1700,"the magnitude 9 Cascadia Earthquake takes place off the west coast of the North America, as evidenced by Japanese records","January 26 is the day in 1700 that the magnitude 9 Cascadia Earthquake takes place off the west coast of the North America, as evidenced by Japanese records.",False
26,1736,Stanislaus I of Poland abdicates his throne,January 26 is the day in 1736 that Stanislaus I of Poland abdicates his throne.,False
26,1788,"the British First Fleet, led by Arthur Phillip, sails into Port Jackson (Sydney Harbour) to establish Sydney, the first permanent European settlement on the continent","January 26 is the day in 1788 that the British First Fleet, led by Arthur Phillip, sails into Port Jackson (Sydney Harbour) to establish Sydney, the first permanent European settlement on the continent.",False
26,1808,"Rum Rebellion, the only successful (albeit short-lived) armed takeover of the government in Australia","January 26 is the day in 1808 that Rum Rebellion, the only successful (albeit short-lived) armed takeover of the government in Australia.",False
26,1838,Tennessee enacts the first prohibition law in the United States,January 26 is the day in 1838 that Tennessee enacts the first prohibition law in the United States.,False
26,1841,"the United Kingdom formally occupies Hong Kong, which China later formally cedes","January 26 is the day in 1841 that the United Kingdom formally occupies Hong Kong, which China later formally cedes.",False
26,1856,First Battle of Seattle,January 26 is the day in 1856 that First Battle of Seattle.,False
26,1905,"the world's largest diamond ever, the Cullinan weighing 3,106.75 carats (0.62135 kg), is found at the Premier Mine near Pretoria in South Africa","January 26 is the day in 1905 that the world's largest diamond ever, the Cullinan weighing 3,106.75 carats (0.62135 kg), is found at the Premier Mine near Pretoria in South Africa.",False
26,1907,"the Short Magazine Lee-Enfield Mk III is officially introduced into British Military Service, and remains the second oldest military rifle still in official use","January 26 is the day in 1907 that the Short Magazine Lee-Enfield Mk III is officially introduced into British Military Service, and remains the second oldest military rifle still in official use.",False
26,1911,Glenn H. Curtiss flies the first successful American seaplane,January 26 is the day in 1911 that Glenn H. Curtiss flies the first successful American seaplane.,False
26,1911,Richard Strauss' opera Der Rosenkavalier receives its debut performance at the Dresden State Opera,January 26 is the day in 1911 that Richard Strauss' opera Der Rosenkavalier receives its debut performance at the Dresden State Opera.,False
26,1924,"Saint Petersburg, Russia, is renamed Leningrad","January 26 is the day in 1924 that Saint Petersburg, Russia, is renamed Leningrad.",False
26,1934,"the Apollo Theater reopens in Harlem, New York City","January 26 is the day in 1934 that the Apollo Theater reopens in Harlem, New York City.",False
26,1949,"the Hale telescope at Palomar Observatory sees first light under the direction of Edwin Hubble, becoming the largest aperture optical telescope (until BTA-6 is built in 1976)","January 26 is the day in 1949 that the Hale telescope at Palomar Observatory sees first light under the direction of Edwin Hubble, becoming the largest aperture optical telescope (until BTA-6 is built in 1976).",False
26,1950,"the Constitution of India comes into force, forming a republic","January 26 is the day in 1950 that the Constitution of India comes into force, forming a republic.",False
26,1960,Danny Heater sets a worldwide high school basketball scoring record when he records 135 points for Burnsville High School (West Virginia),January 26 is the day in 1960 that Danny Heater sets a worldwide high school basketball scoring record when he records 135 points for Burnsville High School (West Virginia).,False
26,1961,John F. Kennedy appoints Janet G. Travell to be his physician,January 26 is the day in 1961 that John F. Kennedy appoints Janet G. Travell to be his physician.,False
26,1965,Hindi becomes the official language of India,January 26 is the day in 1965 that Hindi becomes the official language of India.,False
26,1966,"the Beaumont Children go missing from Glenelg Beach near Adelaide, South Australia","January 26 is the day in 1966 that the Beaumont Children go missing from Glenelg Beach near Adelaide, South Australia.",False
26,1978,"the Great Blizzard of 1978, a rare severe blizzard with the lowest non-tropical atmospheric pressure ever recorded in the US until October 2010, strikes the Ohio – Great Lakes region with heavy snow and winds up to 100 mph (161 km/h)","January 26 is the day in 1978 that the Great Blizzard of 1978, a rare severe blizzard with the lowest non-tropical atmospheric pressure ever recorded in the US until October 2010, strikes the Ohio – Great Lakes region with heavy snow and winds up to 100 mph (161 km/h).",False
26,1980,Israel and Egypt establish diplomatic relations,January 26 is the day in 1980 that Israel and Egypt establish diplomatic relations.,False
26,1991,"Mohamed Siad Barre is removed from power in Somalia, ending centralized government, and is succeeded by Ali Mahdi","January 26 is the day in 1991 that Mohamed Siad Barre is removed from power in Somalia, ending centralized government, and is succeeded by Ali Mahdi.",False
26,1992,Boris Yeltsin announces that Russia will stop targeting United States cities with nuclear weapons,January 26 is the day in 1992 that Boris Yeltsin announces that Russia will stop targeting United States cities with nuclear weapons.,False
26,2001,"an earthquake hits Gujarat, India, causing more than 20,000 deaths","January 26 is the day in 2001 that an earthquake hits Gujarat, India, causing more than 20,000 deaths.",False
26,2004,President Hamid Karzai signs the new constitution of Afghanistan,January 26 is the day in 2004 that President Hamid Karzai signs the new constitution of Afghanistan.,False
26,2004,"a whale explodes in the town of Tainan, Taiwan","January 26 is the day in 2004 that a whale explodes in the town of Tainan, Taiwan.",False
27,447,"the Walls of Constantinople are severely damaged by an earthquake, destroying large parts of the wall, including 57 towers","January 27 is the day in 447 that the Walls of Constantinople are severely damaged by an earthquake, destroying large parts of the wall, including 57 towers.",False
27,661,the Rashidun Caliphate ends with death of Ali,January 27 is the day in 661 that the Rashidun Caliphate ends with death of Ali.,False
27,1186,"Henry VI, the son and heir of the Holy Roman Emperor Frederick I, marries Constance of Sicily","January 27 is the day in 1186 that Henry VI, the son and heir of the Holy Roman Emperor Frederick I, marries Constance of Sicily.",False
27,1343,Pope Clement VI issues the Bull Unigenitus,January 27 is the day in 1343 that Pope Clement VI issues the Bull Unigenitus.,False
27,1593,the Vatican opens seven year trial of scholar Giordano Bruno,January 27 is the day in 1593 that the Vatican opens seven year trial of scholar Giordano Bruno.,False
27,1695,Mustafa II becomes the Ottoman sultan in Istanbul on the death of Ahmed II,January 27 is the day in 1695 that Mustafa II becomes the Ottoman sultan in Istanbul on the death of Ahmed II.,False
27,1785,"the University of Georgia is founded, the first public university in the United States","January 27 is the day in 1785 that the University of Georgia is founded, the first public university in the United States.",False
27,1825,"the U.S. Congress approves Indian Territory (in what is present-day Oklahoma), clearing the way for forced relocation of the Eastern Indians on the ""Trail of Tears""","January 27 is the day in 1825 that the U.S. Congress approves Indian Territory (in what is present-day Oklahoma), clearing the way for forced relocation of the Eastern Indians on the ""Trail of Tears"".",False
27,1870,the Kappa Alpha Theta fraternity is founded at DePauw University,January 27 is the day in 1870 that the Kappa Alpha Theta fraternity is founded at DePauw University.,False
27,1888,"the National Geographic Society is founded in Washington, D.C.","January 27 is the day in 1888 that the National Geographic Society is founded in Washington, D.C..",False
27,1909,the Young Left is founded in Norway,January 27 is the day in 1909 that the Young Left is founded in Norway.,False
27,1927,Ibn Saud takes the title of King of Nejd,January 27 is the day in 1927 that Ibn Saud takes the title of King of Nejd.,False
27,1939,first flight of the Lockheed P-38 Lightning,January 27 is the day in 1939 that first flight of the Lockheed P-38 Lightning.,False
27,1967,"the United States, United Kingdom, and Soviet Union sign the Outer Space Treaty in Washington, D.C., banning deployment of nuclear weapons in space, and limiting use of the Moon and other celestial bodies to peaceful purposes","January 27 is the day in 1967 that the United States, United Kingdom, and Soviet Union sign the Outer Space Treaty in Washington, D.C., banning deployment of nuclear weapons in space, and limiting use of the Moon and other celestial bodies to peaceful purposes.",False
27,1973,the Paris Peace Accords officially end the Vietnam War,January 27 is the day in 1973 that the Paris Peace Accords officially end the Vietnam War.,False
27,1974,the Brisbane River breaches its banks causing the largest flood to affect the city of Brisbane in the 20th century,January 27 is the day in 1974 that the Brisbane River breaches its banks causing the largest flood to affect the city of Brisbane in the 20th century.,False
27,1983,"the pilot shaft of the Seikan Tunnel, the world's longest sub-aqueous tunnel (53.85 km) between the Japanese islands of Honshū and Hokkaidō, breaks through","January 27 is the day in 1983 that the pilot shaft of the Seikan Tunnel, the world's longest sub-aqueous tunnel (53.85 km) between the Japanese islands of Honshū and Hokkaidō, breaks through.",False
27,1984,Pop singer Michael Jackson suffers second degree burns to his scalp during the filming of a Pepsi commercial in the Shrine Auditorium,January 27 is the day in 1984 that Pop singer Michael Jackson suffers second degree burns to his scalp during the filming of a Pepsi commercial in the Shrine Auditorium.,False
27,1996,Germany first observes International Holocaust Remembrance Day,January 27 is the day in 1996 that Germany first observes International Holocaust Remembrance Day.,False
27,2002,"an explosion at a military storage facility in Lagos, Nigeria, kills at least 1,100 people and displaces over 20,000 others","January 27 is the day in 2002 that an explosion at a military storage facility in Lagos, Nigeria, kills at least 1,100 people and displaces over 20,000 others.",False
27,2003,the first selections for the National Recording Registry are announced by the Library of Congress,January 27 is the day in 2003 that the first selections for the National Recording Registry are announced by the Library of Congress.,False
27,2006,Western Union discontinues its Telegram and Commercial Messaging services,January 27 is the day in 2006 that Western Union discontinues its Telegram and Commercial Messaging services.,False
27,2010,the 2009 Honduran constitutional crisis ends when Porfirio Lobo Sosa becomes the new President of Honduras,January 27 is the day in 2010 that the 2009 Honduran constitutional crisis ends when Porfirio Lobo Sosa becomes the new President of Honduras.,False
20,250,Emperor Decius begins a widespread persecution of Christians in Rome,January 20 is the day in 250 that Emperor Decius begins a widespread persecution of Christians in Rome.,False
20,1320,Duke Wladyslaw Lokietek becomes king of Poland,January 20 is the day in 1320 that Duke Wladyslaw Lokietek becomes king of Poland.,False
20,1356,Edward Balliol abdicates as King of Scotland,January 20 is the day in 1356 that Edward Balliol abdicates as King of Scotland.,False
20,1576,the Mexican city of León is founded by order of the viceroy Don Martín Enríquez de Almanza,January 20 is the day in 1576 that the Mexican city of León is founded by order of the viceroy Don Martín Enríquez de Almanza.,False
20,1649,"Charles I of England goes on trial for treason and other ""high crimes""","January 20 is the day in 1649 that Charles I of England goes on trial for treason and other ""high crimes"".",False
20,1783,"the Kingdom of Great Britain signs a peace treaty with France and Spain, officially ending hostilities in the American Revolutionary War (also known as the American War of Independence)","January 20 is the day in 1783 that the Kingdom of Great Britain signs a peace treaty with France and Spain, officially ending hostilities in the American Revolutionary War (also known as the American War of Independence).",False
20,1788,the third and main part of First Fleet arrives at Botany Bay,January 20 is the day in 1788 that the third and main part of First Fleet arrives at Botany Bay.,False
20,1801,John Marshall is appointed the Chief Justice of the United States,January 20 is the day in 1801 that John Marshall is appointed the Chief Justice of the United States.,False
20,1841,Hong Kong Island is occupied by the British,January 20 is the day in 1841 that Hong Kong Island is occupied by the British.,False
20,1885,L.A. Thompson patents the roller coaster,January 20 is the day in 1885 that L.A. Thompson patents the roller coaster.,False
20,1887,the United States Senate allows the Navy to lease Pearl Harbor as a naval base,January 20 is the day in 1887 that the United States Senate allows the Navy to lease Pearl Harbor as a naval base.,False
20,1920,the American Civil Liberties Union is founded,January 20 is the day in 1920 that the American Civil Liberties Union is founded.,False
20,1921,"the first Constitution of Turkey is adopted, making fundamental changes in the source and exercise of sovereignty by consecrating the principle of national sovereignty","January 20 is the day in 1921 that the first Constitution of Turkey is adopted, making fundamental changes in the source and exercise of sovereignty by consecrating the principle of national sovereignty.",False
20,1934,"Fujifilm, the photographic and electronics company, is founded in Tokyo, Japan","January 20 is the day in 1934 that Fujifilm, the photographic and electronics company, is founded in Tokyo, Japan.",False
20,1936,Edward VIII becomes King of the United Kingdom,January 20 is the day in 1936 that Edward VIII becomes King of the United Kingdom.,False
20,1941,"a Nazi officer is murdered in Bucharest, Romania, sparking a rebellion and pogrom by the Iron Guard, killing 125 Jews and 30 soldiers","January 20 is the day in 1941 that a Nazi officer is murdered in Bucharest, Romania, sparking a rebellion and pogrom by the Iron Guard, killing 125 Jews and 30 soldiers.",False
20,1954,the National Negro Network is established with 40 charter member radio stations,January 20 is the day in 1954 that the National Negro Network is established with 40 charter member radio stations.,False
20,1959,the first flight of the Vickers Vanguard,January 20 is the day in 1959 that the first flight of the Vickers Vanguard.,False
20,1960,Hendrik Verwoerd announces a plebiscite on whether South Africa should become a Republic,January 20 is the day in 1960 that Hendrik Verwoerd announces a plebiscite on whether South Africa should become a Republic.,False
20,1969,East Pakistani police kill student activist Amanullah Asaduzzaman,January 20 is the day in 1969 that East Pakistani police kill student activist Amanullah Asaduzzaman.,False
20,1972,Pakistan launched its Nuclear detterent program few weeks after its defeat in Bangladesh Liberation War and Indo-Pakistani War of 1971,January 20 is the day in 1972 that Pakistan launched its Nuclear detterent program few weeks after its defeat in Bangladesh Liberation War and Indo-Pakistani War of 1971.,False
20,1986,"Martin Luther King, Jr. Day is celebrated as a federal holiday for the first time","January 20 is the day in 1986 that Martin Luther King, Jr. Day is celebrated as a federal holiday for the first time.",False
20,1987,church of England envoy Terry Waite is kidnapped in Lebanon,January 20 is the day in 1987 that church of England envoy Terry Waite is kidnapped in Lebanon.,False
20,1991,"Sudan's government imposes Islamic law nationwide, worsening the civil war between the country's Muslim north and Christian south","January 20 is the day in 1991 that Sudan's government imposes Islamic law nationwide, worsening the civil war between the country's Muslim north and Christian south.",False
20,1992,"Air Inter Flight 148 crashes near Strasbourg, France, killing 82 passengers and five crew members","January 20 is the day in 1992 that Air Inter Flight 148 crashes near Strasbourg, France, killing 82 passengers and five crew members.",False
20,1999,"the China News Service announces new government restrictions on Internet use, aimed especially at Internet cafés","January 20 is the day in 1999 that the China News Service announces new government restrictions on Internet use, aimed especially at Internet cafés.",False
20,2007,"a three-man team, using only skis and kites, completes a 1,093-mile (1,759 km) trek to reach the southern pole of inaccessibility for the first time since 1958 and for the first time ever without mechanical assistance","January 20 is the day in 2007 that a three-man team, using only skis and kites, completes a 1,093-mile (1,759 km) trek to reach the southern pole of inaccessibility for the first time since 1958 and for the first time ever without mechanical assistance.",False
21,1525,"the Swiss Anabaptist Movement is founded when Conrad Grebel, Felix Manz, George Blaurock, and about a dozen others baptize each other in the home of Manz's mother in Zürich, breaking a thousand-year tradition of church-state union","January 21 is the day in 1525 that the Swiss Anabaptist Movement is founded when Conrad Grebel, Felix Manz, George Blaurock, and about a dozen others baptize each other in the home of Manz's mother in Zürich, breaking a thousand-year tradition of church-state union.",False
21,1643,Abel Tasman becomes the first European to reach Tonga,January 21 is the day in 1643 that Abel Tasman becomes the first European to reach Tonga.,False
21,1720,Sweden and Prussia sign the Treaty of Stockholm,January 21 is the day in 1720 that Sweden and Prussia sign the Treaty of Stockholm.,False
21,1749,the Verona Philharmonic Theatre is destroyed by fire,January 21 is the day in 1749 that the Verona Philharmonic Theatre is destroyed by fire.,False
21,1789,"the first American novel, The Power of Sympathy or the Triumph of Nature Founded in Truth, is printed in Boston, Massachusetts","January 21 is the day in 1789 that the first American novel, The Power of Sympathy or the Triumph of Nature Founded in Truth, is printed in Boston, Massachusetts.",False
21,1864,the Tauranga Campaign begins during the Maori Wars,January 21 is the day in 1864 that the Tauranga Campaign begins during the Maori Wars.,False
21,1893,"the Tati Concessions Land, formerly part of Matabeleland, is formally annexed to the Bechuanaland Protectorate, now Botswana","January 21 is the day in 1893 that the Tati Concessions Land, formerly part of Matabeleland, is formally annexed to the Bechuanaland Protectorate, now Botswana.",False
21,1899,Opel manufactures its first automobile,January 21 is the day in 1899 that Opel manufactures its first automobile.,False
21,1908,"New York City passes the Sullivan Ordinance, making it illegal for women to smoke in public, only to have the measure vetoed by the mayor","January 21 is the day in 1908 that New York City passes the Sullivan Ordinance, making it illegal for women to smoke in public, only to have the measure vetoed by the mayor.",False
21,1911,the first Monte Carlo Rally takes place,January 21 is the day in 1911 that the first Monte Carlo Rally takes place.,False
21,1915,"Kiwanis International is founded in Detroit, Michigan","January 21 is the day in 1915 that Kiwanis International is founded in Detroit, Michigan.",False
21,1925,Albania declares itself a republic,January 21 is the day in 1925 that Albania declares itself a republic.,False
21,1931,Sir Isaac Isaacs is sworn in as the first Australian-born Governor-General of Australia,January 21 is the day in 1931 that Sir Isaac Isaacs is sworn in as the first Australian-born Governor-General of Australia.,False
21,1941,"sparked by the murder of a German officer in Bucharest, Romania, the day before, members of the Iron Guard engaged in a rebellion and pogrom killing 125 Jews","January 21 is the day in 1941 that sparked by the murder of a German officer in Bucharest, Romania, the day before, members of the Iron Guard engaged in a rebellion and pogrom killing 125 Jews.",False
21,1948,the Flag of Quebec is adopted and flown for the first time over the National Assembly of Quebec,January 21 is the day in 1948 that the Flag of Quebec is adopted and flown for the first time over the National Assembly of Quebec.,False
21,1950,Alger Hiss is convicted of perjury,January 21 is the day in 1950 that Alger Hiss is convicted of perjury.,False
21,1954,"the first nuclear-powered submarine, the USS Nautilus, is launched in Groton, Connecticut by Mamie Eisenhower, the First Lady of the United States","January 21 is the day in 1954 that the first nuclear-powered submarine, the USS Nautilus, is launched in Groton, Connecticut by Mamie Eisenhower, the First Lady of the United States.",False
21,1958,"the last Fokker C.X in military service, the Finnish Air Force FK-111 target tower, crashes, killing the pilot and winch-operator","January 21 is the day in 1958 that the last Fokker C.X in military service, the Finnish Air Force FK-111 target tower, crashes, killing the pilot and winch-operator.",False
21,1960,"Avianca Flight 671 crashes and burns upon landing at Montego Bay, Jamaica, killing 37","January 21 is the day in 1960 that Avianca Flight 671 crashes and burns upon landing at Montego Bay, Jamaica, killing 37.",False
21,1968,"a B-52 bomber crashes near Thule Air Base, contaminating the area after its nuclear payload ruptures","January 21 is the day in 1968 that a B-52 bomber crashes near Thule Air Base, contaminating the area after its nuclear payload ruptures.",False
21,1971,"the current Emley Moor transmitting station, the tallest free-standing structure in the United Kingdom, begins transmitting UHF broadcasts","January 21 is the day in 1971 that the current Emley Moor transmitting station, the tallest free-standing structure in the United Kingdom, begins transmitting UHF broadcasts.",False
21,1977,"President Jimmy Carter pardons nearly all American Vietnam War draft evaders, some of whom had emigrated to Canada","January 21 is the day in 1977 that President Jimmy Carter pardons nearly all American Vietnam War draft evaders, some of whom had emigrated to Canada.",False
21,1985,"the inauguration of President Ronald Reagan to a second term, already postponed a day because January 20 fell on a Sunday, becomes the second inauguration in history moved indoors because of freezing temperatures and high winds","January 21 is the day in 1985 that the inauguration of President Ronald Reagan to a second term, already postponed a day because January 20 fell on a Sunday, becomes the second inauguration in history moved indoors because of freezing temperatures and high winds.",False
21,1997,Newt Gingrich becomes the first leader of the United States House of Representatives to be internally disciplined for ethical misconduct,January 21 is the day in 1997 that Newt Gingrich becomes the first leader of the United States House of Representatives to be internally disciplined for ethical misconduct.,False
