number,fact_fragment,fact_statement,was_submitted
21,"a Fibonacci number, a Harshad number, a Motzkin number, a triangular number and an octagonal number, as well as a composite number, its proper divisors being 1, 3 and 7","21 is a Fibonacci number, a Harshad number, a Motzkin number, a triangular number and an octagonal number, as well as a composite number, its proper divisors being 1, 3 and 7.",False
21,an aliquot sum of 11 though it is the second composite number found in the 11-aliquot tree with the abundant square prime 18 being the first such member,21 is an aliquot sum of 11 though it is the second composite number found in the 11-aliquot tree with the abundant square prime 18 being the first such member.,False
21,a repdigit in base 4 (111),21 is a repdigit in base 4 (111).,False
21,"the smallest natural number that is not close to a power of 2, 2^n, where the range of closeness is +- n","21 is the smallest natural number that is not close to a power of 2, 2^n, where the range of closeness is +- n.",False
21,the smallest number of differently sized squares needed to square the square,21 is the smallest number of differently sized squares needed to square the square.,False
22,"an even composite number, its proper divisors being 1, 2 and 11","22 is an even composite number, its proper divisors being 1, 2 and 11.",False
22,a pentagonal number and a centered heptagonal number,22 is a pentagonal number and a centered heptagonal number.,False
22,a Smith number in base 10,22 is a Smith number in base 10.,False
23,"the ninth prime number, the smallest odd prime that is not a twin prime","23 is the ninth prime number, the smallest odd prime that is not a twin prime.",False
23,the first prime P for which unique factorization of cyclotomic integers based on the Pth root of unity breaks down,23 is the first prime P for which unique factorization of cyclotomic integers based on the Pth root of unity breaks down.,False
23,a Wedderburn–Etherington number,23 is a Wedderburn–Etherington number.,False
28,"a composite number, its proper divisors being 1, 2, 4, 7, and 14","28 is a composite number, its proper divisors being 1, 2, 4, 7, and 14.",False
28,the second perfect number,28 is the second perfect number.,False
28,the third Granville number,28 is the third Granville number.,False
28,the sum of the totient function for the first nine integers,28 is the sum of the totient function for the first nine integers.,False
28,not the aliquot sum of any number other than itself and is therefore not a component in an aliquot sequence,28 is not the aliquot sum of any number other than itself and is therefore not a component in an aliquot sequence.,False
28,"a harmonic divisor number, a happy number, a triangular number, a hexagonal number, and a centered nonagonal number","28 is a harmonic divisor number, a happy number, a triangular number, a hexagonal number, and a centered nonagonal number.",False
28,"in the Padovan sequence, preceded by the terms 12, 16, 21 (it is the sum of the first two of these)","28 is in the Padovan sequence, preceded by the terms 12, 16, 21 (it is the sum of the first two of these).",False
28,the third positive integer with a prime factorization of the form 22q where q is an odd prime,28 is the third positive integer with a prime factorization of the form 22q where q is an odd prime.,False
28,the ninth and last number in early Indian magic square of order 3,28 is the ninth and last number in early Indian magic square of order 3.,False
28,the only positive integer that has a unique Kayles nim-value,28 is the only positive integer that has a unique Kayles nim-value.,False
29,"the tenth prime number, and also the fourth primorial prime","29 is the tenth prime number, and also the fourth primorial prime.",False
29,"a Perrin number, preceded in the sequence by 12, 17, 22","29 is a Perrin number, preceded in the sequence by 12, 17, 22.",False
4,"the smallest composite number, its proper divisors being 1 and 2","4 is the smallest composite number, its proper divisors being 1 and 2.",False
4,"the second square number, the second centered triangular number","4 is the second square number, the second centered triangular number.",False
4,the smallest squared prime (p2) and the only even number in this form,4 is the smallest squared prime (p2) and the only even number in this form.,False
4,the smallest composite number that is equal to the sum of its prime factors,4 is the smallest composite number that is equal to the sum of its prime factors.,False
4,also a Motzkin number,4 is also a Motzkin number.,False
4,"the maximum number of dimensions of a real division algebra (the quaternions), by a theorem of Ferdinand Georg Frobenius","4 is the maximum number of dimensions of a real division algebra (the quaternions), by a theorem of Ferdinand Georg Frobenius.",False
4,the first positive non-Fibonacci number,4 is the first positive non-Fibonacci number.,False
4,an all-Harshad number and a semi-meandric number,4 is an all-Harshad number and a semi-meandric number.,False
8,"a composite number, its proper divisors being 1, 2, and 4","8 is a composite number, its proper divisors being 1, 2, and 4.",False
8,"all powers of 2 ;(2x), have an aliquot sum of one less than themselves","8 is all powers of 2 ;(2x), have an aliquot sum of one less than themselves.",False
8,"the first number to be the aliquot sum of two numbers other than itself; the discrete biprime 10, and the square number 49","8 is the first number to be the aliquot sum of two numbers other than itself; the discrete biprime 10, and the square number 49.",False
8,"the base of the octal number system, which is mostly used with computers","8 is the base of the octal number system, which is mostly used with computers.",False
8,the order of the smallest non-abelian group all of whose subgroups are normal,8 is the order of the smallest non-abelian group all of whose subgroups are normal.,False
8,the dimension of the octonions and is the highest possible dimension of a normed division algebra,8 is the dimension of the octonions and is the highest possible dimension of a normed division algebra.,False
59,the 17th smallest prime number,59 is the 17th smallest prime number.,False
59,also a highly cototient number,59 is also a highly cototient number.,False
59,one of the factors that divides the smallest composite Euclid number,59 is one of the factors that divides the smallest composite Euclid number.,False
58,an aliquot sum of 32 and is the second composite member of the 83-aliquot tree,58 is an aliquot sum of 32 and is the second composite member of the 83-aliquot tree.,False
58,"the sum of the first seven prime numbers, an 11-gonal number, and a Smith number","58 is the sum of the first seven prime numbers, an 11-gonal number, and a Smith number.",False
55,the interesting property that it is the 10th Fibonacci number and the sum of the numbers 1 to 10,55 is the interesting property that it is the 10th Fibonacci number and the sum of the numbers 1 to 10.,False
55,"a heptagonal number, a centered nonagonal number, and a triangular number (the sum of the numbers 1 to 10) and a square pyramidal number (the sum of the squares of the integers 1 to 5)","55 is a heptagonal number, a centered nonagonal number, and a triangular number (the sum of the numbers 1 to 10) and a square pyramidal number (the sum of the squares of the integers 1 to 5).",False
55,"a semiprime, being the product of 5 and 11 and it is the 2nd member of the (5.q) semiprime family","55 is a semiprime, being the product of 5 and 11 and it is the 2nd member of the (5.q) semiprime family.",False
54,a 19-gonal number,54 is a 19-gonal number.,False
57,the sixteenth discrete semiprime and the sixth in the (3.q) family,57 is the sixteenth discrete semiprime and the sixth in the (3.q) family.,False
57,a 20-gonal number,57 is a 20-gonal number.,False
57,a repdigit in base 7 (111),57 is a repdigit in base 7 (111).,False
56,"the sum of the first six triangular numbers (making it a tetrahedral number), as well as the sum of six consecutive primes (3 + 5 + 7 + 11 + 13 + 17)","56 is the sum of the first six triangular numbers (making it a tetrahedral number), as well as the sum of six consecutive primes (3 + 5 + 7 + 11 + 13 + 17).",False
51,the 14th discrete biprime and the 5th in the {3.q} semiprime family having the prime factors (3.17),51 is the 14th discrete biprime and the 5th in the {3.q} semiprime family having the prime factors (3.17).,False
51,a pentagonal number as well as a centered pentagonal number (one of the few numbers to be both) and an 18-gonal number and a Perrin number,51 is a pentagonal number as well as a centered pentagonal number (one of the few numbers to be both) and an 18-gonal number and a Perrin number.,False
53,the 16thprime number,53 is the 16thprime number.,False
52,the 6th Bell number and a decagonal number,52 is the 6th Bell number and a decagonal number.,False
89,"the 24th prime number, following 83 and preceding 97","89 is the 24th prime number, following 83 and preceding 97.",False
89,a Fibonacci number,89 is a Fibonacci number.,False
89,"also a Markov number, appearing in solutions to the Markov Diophantine equation with other odd-indexed Fibonacci numbers","89 is also a Markov number, appearing in solutions to the Markov Diophantine equation with other odd-indexed Fibonacci numbers.",False
82,the twenty-third biprime and the twelfth of the form (2.q),82 is the twenty-third biprime and the twelfth of the form (2.q).,False
82,a companion Pell number,82 is a companion Pell number.,False
82,a happy number,82 is a happy number.,False
83,the sum of three consecutive primes (23 + 29 + 31) as well as the sum of five consecutive primes (11 + 13 + 17 + 19 + 23),83 is the sum of three consecutive primes (23 + 29 + 31) as well as the sum of five consecutive primes (11 + 13 + 17 + 19 + 23).,False
83,"also the 23rd prime number, following 79 and preceding 89","83 is also the 23rd prime number, following 79 and preceding 89.",False
83,also a highly cototient number,83 is also a highly cototient number.,False
80,"a ménage number, and is a Harshad number number in base 10","80 is a ménage number, and is a Harshad number number in base 10.",False
81,the square of 9 and the fourth power of 3,81 is the square of 9 and the fourth power of 3.,False
86,the 25th distinct semiprime and the 13th of the form (2.q),86 is the 25th distinct semiprime and the 13th of the form (2.q).,False
86,the middle number in the second cluster of three discrete semiprimes between 85 and 87 being themselves discrete semiprimes,86 is the middle number in the second cluster of three discrete semiprimes between 85 and 87 being themselves discrete semiprimes.,False
86,"a semiprime, nontotient, a noncototient, a happy number, and a self number","86 is a semiprime, nontotient, a noncototient, a happy number, and a self number.",False
86,a repdigit in base 6 (222),86 is a repdigit in base 6 (222).,False
87,the twenty-sixth distinct semiprime and the eighth of the form (3.q),87 is the twenty-sixth distinct semiprime and the eighth of the form (3.q).,False
87,the sum of the squares of the first four primes,87 is the sum of the squares of the first four primes.,False
84,"the sum of the first seven triangular numbers (making it a tetrahedral number), as well as the sum of a twin prime (41 + 43)","84 is the sum of the first seven triangular numbers (making it a tetrahedral number), as well as the sum of a twin prime (41 + 43).",False
84,also the lim sup of the largest finite subgroup of the mapping class group of a genus g surface divided by g,84 is also the lim sup of the largest finite subgroup of the mapping class group of a genus g surface divided by g.,False
85,"an octahedral number, a centered triangular number, a centered square number, a decagonal number, and a Smith number","85 is an octahedral number, a centered triangular number, a centered square number, a decagonal number, and a Smith number.",False
85,"the product of two prime numbers (5 and 17), and is therefore a biprime; specifically, the 24th biprime not counting perfect squares","85 is the product of two prime numbers (5 and 17), and is therefore a biprime; specifically, the 24th biprime not counting perfect squares.",False
85,"1111 (a repunit) in base 4; which is expected, since its two factors 5 and 17 are consecutive Fermat primes, and the base 4 is one less than the smaller factor 5","85 is 1111 (a repunit) in base 4; which is expected, since its two factors 5 and 17 are consecutive Fermat primes, and the base 4 is one less than the smaller factor 5.",False
3,"the first odd prime number, and the second smallest prime","3 is the first odd prime number, and the second smallest prime.",False
3,the first unique prime due to the properties of its reciprocal,3 is the first unique prime due to the properties of its reciprocal.,False
3,the aliquot sum of 4,3 is the aliquot sum of 4.,False
3,the third Heegner number,3 is the third Heegner number.,False
3,the second triangular number and it is the only prime triangular number,3 is the second triangular number and it is the only prime triangular number.,False
3,the fifth Fibonacci number and the third that is unique,3 is the fifth Fibonacci number and the third that is unique.,False
3,the fourth open meandric number,3 is the fourth open meandric number.,False
3,"a triangle is the only figure which, if all endpoints have hinges, will never change its shape unless the sides themselves are bent","3 is a triangle is the only figure which, if all endpoints have hinges, will never change its shape unless the sides themselves are bent.",False
3,"the first number, according to the Pythagoreans, and the first male number","3 is the first number, according to the Pythagoreans, and the first male number.",False
3,"the first number, according to Proclus, being the first number such that n2 is greater than 2n","3 is the first number, according to Proclus, being the first number such that n2 is greater than 2n.",False
7,the lowest number that cannot be represented as the sum of the squares of three integers,7 is the lowest number that cannot be represented as the sum of the squares of three integers.,False
7,"the only dimension, besides the familiar 3, in which a vector cross product can be defined","7 is the only dimension, besides the familiar 3, in which a vector cross product can be defined.",False
7,the sum of any two opposite sides on a standard six-sided die,7 is the sum of any two opposite sides on a standard six-sided die.,False
100,the square of 10 (in scientific notation it is written as 102),100 is the square of 10 (in scientific notation it is written as 102).,False
100,also an 18-gonal number,100 is also an 18-gonal number.,False
100,"a Harshad number in base 10, and also in base 4, and in that base it is a self-descriptive number","100 is a Harshad number in base 10, and also in base 4, and in that base it is a self-descriptive number.",False
100,the smallest number whose common logarithm is a prime number,100 is the smallest number whose common logarithm is a prime number.,False
39,the sum of five consecutive primes (3 + 5 + 7 + 11 + 13) and the sum of the first three powers of 3 (31 + 32 + 33),39 is the sum of five consecutive primes (3 + 5 + 7 + 11 + 13) and the sum of the first three powers of 3 (31 + 32 + 33).,False
39,the 12th distinct semiprime and the 4th in the {3.q} family,39 is the 12th distinct semiprime and the 4th in the {3.q} family.,False
39,an aliquot sum of 17 which is itself a prime,39 is an aliquot sum of 17 which is itself a prime.,False
38,the 11th distinct semiprime and the 7th in the {2.q} family,38 is the 11th distinct semiprime and the 7th in the {2.q} family.,False
38,the sum of the squares of the first three primes,38 is the sum of the squares of the first three primes.,False
38,the largest even number which cannot be written as the sum of two odd composite numbers,38 is the largest even number which cannot be written as the sum of two odd composite numbers.,False
33,the largest positive integer that cannot be expressed as a sum of different triangular numbers,33 is the largest positive integer that cannot be expressed as a sum of different triangular numbers.,False
33,the eighth distinct semiprime comprising the prime factors (3 • 11),33 is the eighth distinct semiprime comprising the prime factors (3 • 11).,False
32,the smallest number n with exactly 7 solutions to the equation φ(x) = n. It is also the sum of the totient function for the first ten integers,32 is the smallest number n with exactly 7 solutions to the equation φ(x) = n. It is also the sum of the totient function for the first ten integers.,False
32,the ninth happy number,32 is the ninth happy number.,False
31,"the third Mersenne prime ( 25 - 1 ) as well as the fourth primorial prime, and together with twenty-nine, another primorial prime, it comprises a twin prime","31 is the third Mersenne prime ( 25 - 1 ) as well as the fourth primorial prime, and together with twenty-nine, another primorial prime, it comprises a twin prime.",False
31,"a centered triangular number, a centered pentagonal number and centered decagonal number","31 is a centered triangular number, a centered pentagonal number and centered decagonal number.",False
31,"a repdigit in base 5 (111), and base 2 (11111)","31 is a repdigit in base 5 (111), and base 2 (11111).",False
30,"the sum of the first four squares, which makes it a square pyramidal number","30 is the sum of the first four squares, which makes it a square pyramidal number.",False
30,a primorial and is the smallest Giuga number,30 is a primorial and is the smallest Giuga number.,False
30,"the smallest sphenic number, and the smallest of the form where r is a prime greater than 3","30 is the smallest sphenic number, and the smallest of the form where r is a prime greater than 3.",False
30,"the largest number such that all coprimes smaller than itself, except for 1, are prime","30 is the largest number such that all coprimes smaller than itself, except for 1, are prime.",False
30,a Harshad number,30 is a Harshad number.,False
37,"a prime number, the fifth lucky prime, the first irregular prime, the third unique prime and the third cuban prime of the form","37 is a prime number, the fifth lucky prime, the first irregular prime, the third unique prime and the third cuban prime of the form.",False
37,"a factor of all 3-digit base 10 repdigits, such as 111","37 is a factor of all 3-digit base 10 repdigits, such as 111.",False
36,"both the square of 6 and a triangular number, making it a square triangular number","36 is both the square of 6 and a triangular number, making it a square triangular number.",False
36,also a 13-gonal number,36 is also a 13-gonal number.,False
36,"this number is the sum of a twin prime (17 + 19), the sum of the cubes of the first three integers, and the product of the squares of the first three integers","36 is this number is the sum of a twin prime (17 + 19), the sum of the cubes of the first three integers, and the product of the squares of the first three integers.",False
36,the number of degrees in the interior angle of each tip of a regular pentagram,36 is the number of degrees in the interior angle of each tip of a regular pentagram.,False
36,the number of possible outcomes (not summed) in the roll of two distinct dice,36 is the number of possible outcomes (not summed) in the roll of two distinct dice.,False
36,"the largest numeric base that some computer systems support because it exhausts the numerals, 0-9, and the letters, A-Z","36 is the largest numeric base that some computer systems support because it exhausts the numerals, 0-9, and the letters, A-Z.",False
36,the number of inches in a yard,36 is the number of inches in a yard.,False
35,"the sum of the first five triangular numbers, making it a tetrahedral number","35 is the sum of the first five triangular numbers, making it a tetrahedral number.",False
35,"the number of ways that three things can be selected from a set of seven unique things also known as the ""combination of seven things taken three at a time""","35 is the number of ways that three things can be selected from a set of seven unique things also known as the ""combination of seven things taken three at a time"".",False
35,"a centered cube number, a pentagonal number and a pentatope number","35 is a centered cube number, a pentagonal number and a pentatope number.",False
35,"a discrete semiprime (or biprime) (5 × 7); the tenth, and the first with 5 as the lowest non-unitary factor","35 is a discrete semiprime (or biprime) (5 × 7); the tenth, and the first with 5 as the lowest non-unitary factor.",False
35,the highest number one can count to on one's fingers using base 6,35 is the highest number one can count to on one's fingers using base 6.,False
34,the ninth distinct semiprime and has four divisors including unity and itself,34 is the ninth distinct semiprime and has four divisors including unity and itself.,False
34,the ninth Fibonacci number and a companion Pell number,34 is the ninth Fibonacci number and a companion Pell number.,False
34,a heptagonal number,34 is a heptagonal number.,False
60,the smallest number divisible by the numbers 1 to 6,60 is the smallest number divisible by the numbers 1 to 6.,False
60,"the sum of a pair of twin primes (29 + 31), as well as the sum of four consecutive primes (11 + 13 + 17 + 19)","60 is the sum of a pair of twin primes (29 + 31), as well as the sum of four consecutive primes (11 + 13 + 17 + 19).",False
61,the 18th prime number,61 is the 18th prime number.,False
61,9th Mersenne Prime Exponent,61 is 9th Mersenne Prime Exponent.,False
61,"the sum of two squares, 52 + 62, and it is also a centered square number, a centered hexagonal number and a centered decagonal number","61 is the sum of two squares, 52 + 62, and it is also a centered square number, a centered hexagonal number and a centered decagonal number.",False
64,"the square of 8, the cube of 4, and the sixth power of 2","64 is the square of 8, the cube of 4, and the sixth power of 2.",False
64,a superperfect number - a number such that σ(σ(n))=2n,64 is a superperfect number - a number such that σ(σ(n))=2n.,False
64,"the index of Graham's number in the rapidly growing sequence 3,27,7625597484987,...","64 is the index of Graham's number in the rapidly growing sequence 3,27,7625597484987,....",False
65,the 23rdsemiprime and the 3rd of the form (5.q)it is an octagonal number,65 is the 23rdsemiprime and the 3rd of the form (5.q)it is an octagonal number.,False
65,an aliquot sum of 19 and is the first composite number in the 19-aliquot tree,65 is an aliquot sum of 19 and is the first composite number in the 19-aliquot tree.,False
65,this number is also the magic constant of n-Queens Problem for n = 5,65 is this number is also the magic constant of n-Queens Problem for n = 5.,False
65,"in the Padovan sequence, preceded by the terms 28, 37, 49 (it is the sum of the first two of these)","65 is in the Padovan sequence, preceded by the terms 28, 37, 49 (it is the sum of the first two of these).",False
66,"a sphenic number, a triangular number, a hexagonal number, and a semi-meandric number","66 is a sphenic number, a triangular number, a hexagonal number, and a semi-meandric number.",False
67,"the 19th prime number (the next is 71), an irregular prime, a lucky prime, the sum of five consecutive primes (7 + 11 + 13 + 17 + 19), and a Heegner number","67 is the 19th prime number (the next is 71), an irregular prime, a lucky prime, the sum of five consecutive primes (7 + 11 + 13 + 17 + 19), and a Heegner number.",False
68,a nontotient,68 is a nontotient.,False
69,a semiprime,69 is a semiprime.,False
2,many properties in mathematics,2 is many properties in mathematics.,False
2,"the smallest and the first prime number, and the only even one (for this reason it is sometimes called ""the oddest prime"")","2 is the smallest and the first prime number, and the only even one (for this reason it is sometimes called ""the oddest prime"").",False
2,"the third Fibonacci number, and the third and fifth Perrin numbers","2 is the third Fibonacci number, and the third and fifth Perrin numbers.",False
2,"the base of the simplest numeral system in which natural numbers can be written concisely, being the length of the number a logarithm of the value of the number (whereas in base 1 the length of the number is the value of the number itself); the binary system is used in computers","2 is the base of the simplest numeral system in which natural numbers can be written concisely, being the length of the number a logarithm of the value of the number (whereas in base 1 the length of the number is the value of the number itself); the binary system is used in computers.",False
2,the only number x such that the sum of the reciprocals of the powers of x equals itself,2 is the only number x such that the sum of the reciprocals of the powers of x equals itself.,False
2,"a primorial, as well as its own factorial","2 is a primorial, as well as its own factorial.",False
2,the number of n-Queens Problem solutions for n = 4,2 is the number of n-Queens Problem solutions for n = 4.,False
6,"the second smallest composite number, its proper divisors being 1, 2 and 3","6 is the second smallest composite number, its proper divisors being 1, 2 and 3.",False
6,the first discrete biprime (2.3) and the first member of the (2.q) discrete biprime family,6 is the first discrete biprime (2.3) and the first member of the (2.q) discrete biprime family.,False
6,the only number that is both the sum and the product of three consecutive positive numbers,6 is the only number that is both the sum and the product of three consecutive positive numbers.,False
6,"a unitary perfect number, a harmonic divisor number and a highly composite number","6 is a unitary perfect number, a harmonic divisor number and a highly composite number.",False
6,the smallest non-abelian group is the symmetric group S3 which has 3!,6 is the smallest non-abelian group is the symmetric group S3 which has 3!.,False
6,the largest of the four all-Harshad numbers,6 is the largest of the four all-Harshad numbers.,False
6,the smallest number of distinct isosceles right triangles that will tile an isosceles right triangle,6 is the smallest number of distinct isosceles right triangles that will tile an isosceles right triangle.,False
99,"the ninth repdigit, a palindromic number and a Kaprekar number","99 is the ninth repdigit, a palindromic number and a Kaprekar number.",False
98,a Wedderburn-Etherington number and a nontotient,98 is a Wedderburn-Etherington number and a nontotient.,False
91,the twenty-seventh distinct semiprime and the second of the form (7.q),91 is the twenty-seventh distinct semiprime and the second of the form (7.q).,False
91,"a triangular number and a hexagonal number, one of the few such numbers to also be a centered hexagonal number, and it is also a centered nonagonal number and a centered cube number","91 is a triangular number and a hexagonal number, one of the few such numbers to also be a centered hexagonal number, and it is also a centered nonagonal number and a centered cube number.",False
91,also the smallest pseudoprime satisfying the congruence 3n = 3 mod n,91 is also the smallest pseudoprime satisfying the congruence 3n = 3 mod n.,False
91,a repdigit in base 9 (111),91 is a repdigit in base 9 (111).,False
90,"divisible by the sum of its base 10 digits, thus it is a Harshad number","90 is divisible by the sum of its base 10 digits, thus it is a Harshad number.",False
93,the twenty-eighth distinct semiprime and the ninth of the form (3.q),93 is the twenty-eighth distinct semiprime and the ninth of the form (3.q).,False
93,a repdigit in base 5 (333),93 is a repdigit in base 5 (333).,False
92,a pentagonal number,92 is a pentagonal number.,False
95,the thirtieth distinct semiprime and the fifth of the form (5.q),95 is the thirtieth distinct semiprime and the fifth of the form (5.q).,False
95,an 11-gonal number,95 is an 11-gonal number.,False
94,the twenty-ninth distinct semiprime and the fourteenth of the form (2.q),94 is the twenty-ninth distinct semiprime and the fourteenth of the form (2.q).,False
94,a 17-gonal number and a nontotient,94 is a 17-gonal number and a nontotient.,False
97,"the 25th prime number (the largest two-digit prime number in base 10), following 89 and preceding 101","97 is the 25th prime number (the largest two-digit prime number in base 10), following 89 and preceding 101.",False
97,the tenth member of the Mian–Chowla sequence,97 is the tenth member of the Mian–Chowla sequence.,False
97,"the smallest factor of one more than the product of the first twenty-five terms of the Euclid–Mullin sequence, making it the twenty-sixth term","97 is the smallest factor of one more than the product of the first twenty-five terms of the Euclid–Mullin sequence, making it the twenty-sixth term.",False
96,"an octagonal number, a refactorable number and an untouchable number","96 is an octagonal number, a refactorable number and an untouchable number.",False
96,the fourth Granville number and the second non-perfect Granville number,96 is the fourth Granville number and the second non-perfect Granville number.,False
11,the 5th smallest prime number,11 is the 5th smallest prime number.,False
11,"a Størmer number, a Heegner number, and a Mills prime","11 is a Størmer number, a Heegner number, and a Mills prime.",False
10,"a composite number, its proper divisors being 1, 2 and 5","10 is a composite number, its proper divisors being 1, 2 and 5.",False
10,the second discrete semiprime (2.5) and the second member of the (2.q) discrete semiprime family,10 is the second discrete semiprime (2.5) and the second member of the (2.q) discrete semiprime family.,False
10,the aliquot sum of only one number the discrete semiprime 14,10 is the aliquot sum of only one number the discrete semiprime 14.,False
10,a semi-meandric number,10 is a semi-meandric number.,False
10,"the sum of the first three prime numbers, of the four first numbers (1 + 2 + 3 + 4), of the square of the two first odd numbers and also of the first four factorials (0!","10 is the sum of the first three prime numbers, of the four first numbers (1 + 2 + 3 + 4), of the square of the two first odd numbers and also of the first four factorials (0!.",False
10,the number of n-Queens Problem solutions for n = 5,10 is the number of n-Queens Problem solutions for n = 5.,False
10,the smallest number whose status as a possible friendly number is unknown,10 is the smallest number whose status as a possible friendly number is unknown.,False
10,"a Harshad number in bases 2, 3, 5, 6, 9 and all others above","10 is a Harshad number in bases 2, 3, 5, 6, 9 and all others above.",False
12,"a sublime number, a number that has a perfect number of divisors, and the sum of its divisors is also a perfect number","12 is a sublime number, a number that has a perfect number of divisors, and the sum of its divisors is also a perfect number.",False
12,"a superfactorial, being the product of the first three factorials","12 is a superfactorial, being the product of the first three factorials.",False
12,"the ninth Perrin number, preceded in the sequence by 5, 7, 10, and also appears in the Padovan sequence, preceded by the terms 5, 7, 9 (it is the sum of the first two of these)","12 is the ninth Perrin number, preceded in the sequence by 5, 7, 10, and also appears in the Padovan sequence, preceded by the terms 5, 7, 9 (it is the sum of the first two of these).",False
12,the smallest weight for which a cusp form exists,12 is the smallest weight for which a cusp form exists.,False
15,"a triangular number, a hexagonal number, a pentatope number and the 4th Bell number","15 is a triangular number, a hexagonal number, a pentatope number and the 4th Bell number.",False
15,the 4th discrete semiprime (3.5) and the first member of the (3.q) discrete semiprime family,15 is the 4th discrete semiprime (3.5) and the first member of the (3.q) discrete semiprime family.,False
15,the smallest number that can be factorized using Shor's quantum algorithm,15 is the smallest number that can be factorized using Shor's quantum algorithm.,False
15,a repdigit in binary (1111),15 is a repdigit in binary (1111).,False
14,the 3rd discrete semiprime ( 2 ,14 is the 3rd discrete semiprime ( 2 .,False
14,"Itself the Aliquot sum of two numbers; the discrete semiprime 22, and the square number 196","14 is Itself the Aliquot sum of two numbers; the discrete semiprime 22, and the square number 196.",False
14,the base of the tetradecimal notation,14 is the base of the tetradecimal notation.,False
14,"the sum of the first three squares, which makes it a square pyramidal number","14 is the sum of the first three squares, which makes it a square pyramidal number.",False
14,"this number is the lowest even n for which the equation φ(x) = n has no solution, making it the first even nontotient (see Euler's totient function)","14 is this number is the lowest even n for which the equation φ(x) = n has no solution, making it the first even nontotient (see Euler's totient function).",False
14,"a Catalan number, the only semiprime among all Catalan numbers","14 is a Catalan number, the only semiprime among all Catalan numbers.",False
14,an open meandric number,14 is an open meandric number.,False
14,a Companion Pell number,14 is a Companion Pell number.,False
17,the 7th prime number,17 is the 7th prime number.,False
17,"the third Fermat prime, as it is of the form 24 + 1, and it is also a Proth prime","17 is the third Fermat prime, as it is of the form 24 + 1, and it is also a Proth prime.",False
17,"the only positive Genocchi number that is prime, the only negative one being −3","17 is the only positive Genocchi number that is prime, the only negative one being −3.",False
17,either 16 or 18 unit squares can be formed into rectangles with perimeter equal to the area; and there are no other natural numbers with this property,17 is either 16 or 18 unit squares can be formed into rectangles with perimeter equal to the area; and there are no other natural numbers with this property.,False
17,"the tenth Perrin number, preceded in the sequence by 7, 10, 12","17 is the tenth Perrin number, preceded in the sequence by 7, 10, 12.",False
17,"known as the Feller number, after the famous mathematician William Feller who taught at Princeton University for many years","17 is known as the Feller number, after the famous mathematician William Feller who taught at Princeton University for many years.",False
