number,fact_fragment,fact_statement,was_submitted
26,"often the number of episodes in a television program each year; this allows one new show per week for half the year, and one rerun per week for the rest of the year","26 is often the number of episodes in a television program each year; this allows one new show per week for half the year, and one rerun per week for the rest of the year.",False
26,the alias of punk rock singer Doc Corbin Dart,26 is the alias of punk rock singer Doc Corbin Dart.,False
26,the age at which males can no longer be drafted in the United States,26 is the age at which males can no longer be drafted in the United States.,False
26,"the ""joke throw"" in the game of darts, where a player throws 20, 5 and 1 when aiming for 20 (or treble 20)","26 is the ""joke throw"" in the game of darts, where a player throws 20, 5 and 1 when aiming for 20 (or treble 20).",False
26,the number of Cantons of Switzerland,26 is the number of Cantons of Switzerland.,False
26,the number of bones in the normal human Foot and Ankle,26 is the number of bones in the normal human Foot and Ankle.,False
26,the atomic number of iron,26 is the atomic number of iron.,False
26,the number of spacetime dimensions in bosonic string theory,26 is the number of spacetime dimensions in bosonic string theory.,False
27,three of the cube is zero (science-fiction story),27 is three of the cube is zero (science-fiction story).,False
27,the Minneapolis-based artist Deuce 7 (a.k.a,27 is the Minneapolis-based artist Deuce 7 (a.k.a.,False
27,"the modal age of the peak performance year for Major League Baseball position players, according to a commonly accepted theory by sabermetrician Bill James","27 is the modal age of the peak performance year for Major League Baseball position players, according to a commonly accepted theory by sabermetrician Bill James.",False
27,the total number of letters in the Hebrew alphabet (22 regular letters and 5 final consonants),27 is the total number of letters in the Hebrew alphabet (22 regular letters and 5 final consonants).,False
27,the total number of letters in the Spanish alphabet (5 vowels and 22 consonants),27 is the total number of letters in the Spanish alphabet (5 vowels and 22 consonants).,False
27,the current number of Amendments to the United States Constitution,27 is the current number of Amendments to the United States Constitution.,False
27,the code for international direct-dial phone calls to South Africa,27 is the code for international direct-dial phone calls to South Africa.,False
27,"the name of a cigarette, Marlboro Blend No","27 is the name of a cigarette, Marlboro Blend No.",False
27,"Alternate name for The Hunt, a book by William Diehl","27 is Alternate name for The Hunt, a book by William Diehl.",False
27,the number of the French department Eure,27 is the number of the French department Eure.,False
27,the number of countries in the European Union (as of August 2011),27 is the number of countries in the European Union (as of August 2011).,False
27,Abbé Faria's prisoner number in the book The Count of Monte Cristo,27 is Abbé Faria's prisoner number in the book The Count of Monte Cristo.,False
27,"one of the anthropomorphic math symbols Lisa Simpson imagines talking to her in The Simpsons episode ""Girls Just Want to Have Sums"", which, instead of offering the expected pun-based aphorism, rather unhelpfully only says ""twenty seven""","27 is one of the anthropomorphic math symbols Lisa Simpson imagines talking to her in The Simpsons episode ""Girls Just Want to Have Sums"", which, instead of offering the expected pun-based aphorism, rather unhelpfully only says ""twenty seven"".",False
27,the atomic number of cobalt,27 is the atomic number of cobalt.,False
27,the atomic weight of aluminum,27 is the atomic weight of aluminum.,False
27,the Saros number of the solar eclipse series which began on 1993 March and ended on 713 April,27 is the Saros number of the solar eclipse series which began on 1993 March and ended on 713 April.,False
20,a denomination of $US featuring Andrew Jackson's portrait,20 is a denomination of $US featuring Andrew Jackson's portrait.,False
20,a denomination of Pound sterling featuring Adam Smith's portrait,20 is a denomination of Pound sterling featuring Adam Smith's portrait.,False
20,the ordinal adjective is vicenary,20 is the ordinal adjective is vicenary.,False
20,the code for international direct dial phone calls to Egypt,20 is the code for international direct dial phone calls to Egypt.,False
20,the atomic number of calcium,20 is the atomic number of calcium.,False
20,the third magic number in physics,20 is the third magic number in physics.,False
20,the IAU shower number for Coma Berenicids,20 is the IAU shower number for Coma Berenicids.,False
20,the number of proteinogenic amino acids that are encoded by the standard genetic code,20 is the number of proteinogenic amino acids that are encoded by the standard genetic code.,False
20,it is at this point that a person is no longer a teenager,20 is it is at this point that a person is no longer a teenager.,False
21,british indie rock band Mystery Jets released an album entitled Twenty One in 2008,21 is british indie rock band Mystery Jets released an album entitled Twenty One in 2008.,False
21,"""Twenty one"" is the name of the song from No need to argue by The Cranberries","21 is ""Twenty one"" is the name of the song from No need to argue by The Cranberries.",False
21,"the Twenty-first Amendment repealed the Eighteenth Amendment, thereby ending Prohibition","21 is the Twenty-first Amendment repealed the Eighteenth Amendment, thereby ending Prohibition.",False
21,the number of spots on a standard cubical (six-sided) die (1+2+3+4+5+6),21 is the number of spots on a standard cubical (six-sided) die (1+2+3+4+5+6).,False
21,"Twenty One, a TV quiz show that ran from 1956 to 1958, most remembered for the scandal that the wins were fixed (see Quiz show scandals)","21 is Twenty One, a TV quiz show that ran from 1956 to 1958, most remembered for the scandal that the wins were fixed (see Quiz show scandals).",False
21,the standard TCP/IP port number for FTP connection,21 is the standard TCP/IP port number for FTP connection.,False
21,the title of a song by The Cranberries,21 is the title of a song by The Cranberries.,False
21,the number of the French department Côte-d'Or,21 is the number of the French department Côte-d'Or.,False
21,the atomic number of scandium,21 is the atomic number of scandium.,False
22,"in the 1942 film Casablanca, Rick's Café Americain has a trick roulette wheel","22 is in the 1942 film Casablanca, Rick's Café Americain has a trick roulette wheel.",False
22,the number of the French department Côtes-d'Armor,22 is the number of the French department Côtes-d'Armor.,False
22,"the license plate number of Edirne, Turkey","22 is the license plate number of Edirne, Turkey.",False
22,synchronicity,22 is synchronicity.,False
22,the standard port number for the Secure Shell protocol,22 is the standard port number for the Secure Shell protocol.,False
22,the name of a song by punk band Millencolin,22 is the name of a song by punk band Millencolin.,False
22,the number of yards in a chain,22 is the number of yards in a chain.,False
23,the Ancient Chinese believed that numbers conveyed sexuality with even numbers representing femininity and odd representing masculinity,23 is the Ancient Chinese believed that numbers conveyed sexuality with even numbers representing femininity and odd representing masculinity.,False
23,"Carbon Based Lifeforms released a 2011 album titled ""Twentythree","23 is Carbon Based Lifeforms released a 2011 album titled ""Twentythree.",False
23,the atomic number of vanadium,23 is the atomic number of vanadium.,False
23,the atomic mass number of the stable isotope of sodium,23 is the atomic mass number of the stable isotope of sodium.,False
28,the number worn by the Clemson Tigers' record breaking running back C.J,28 is the number worn by the Clemson Tigers' record breaking running back C.J.,False
28,the number of a car formerly run in the NASCAR Sprint Cup Series by Yates Racing,28 is the number of a car formerly run in the NASCAR Sprint Cup Series by Yates Racing.,False
28,the Saros number of the lunar eclipse series which began on -1915 June 27 and ended on -581 September 6,28 is the Saros number of the lunar eclipse series which began on -1915 June 27 and ended on -581 September 6.,False
28,"the number of days in the shortest month of the Gregorian calendar, February (except in leap years, when there are twenty-nine)","28 is the number of days in the shortest month of the Gregorian calendar, February (except in leap years, when there are twenty-nine).",False
28,"the common name for the parrot 'Barnardius zonarius semitorquatus', widely distributed in Western Australia and South Australia","28 is the common name for the parrot 'Barnardius zonarius semitorquatus', widely distributed in Western Australia and South Australia.",False
28,"the number of letters in the Danish and Swedish alphabets (not counting W), and also in the Arabic and Esperanto alphabets","28 is the number of letters in the Danish and Swedish alphabets (not counting W), and also in the Arabic and Esperanto alphabets.",False
28,"the number of Chinese constellations, ""Xiu"" or ""mansions"" (a literal translation), equivalent to the 12 western zodiac constellations","28 is the number of Chinese constellations, ""Xiu"" or ""mansions"" (a literal translation), equivalent to the 12 western zodiac constellations.",False
28,the number of dominoes in standard domino sets,28 is the number of dominoes in standard domino sets.,False
28,"the postal code of the province of Madrid, in Spain","28 is the postal code of the province of Madrid, in Spain.",False
28,Twenty Eight is a popular game played in Kerala India,28 is Twenty Eight is a popular game played in Kerala India.,False
28,the number of the French department Eure-et-Loir,28 is the number of the French department Eure-et-Loir.,False
28,"approximately the number of grams in an ounce, and used as such in the illegal drug trade","28 is approximately the number of grams in an ounce, and used as such in the illegal drug trade.",False
28,the atomic mass of silicon,28 is the atomic mass of silicon.,False
28,the atomic number of nickel,28 is the atomic number of nickel.,False
28,the fourth magic number in physics,28 is the fourth magic number in physics.,False
29,an album by Ryan Adams,29 is an album by Ryan Adams.,False
29,the track from which the Chattanooga Choo Choo train departs in the Glenn Miller song,29 is the track from which the Chattanooga Choo Choo train departs in the Glenn Miller song.,False
29,the amount of attributes existing according to The Strokes in You Only Live Once,29 is the amount of attributes existing according to The Strokes in You Only Live Once.,False
29,"in the name of the town Twentynine Palms, California","29 is in the name of the town Twentynine Palms, California.",False
29,the number of the French department of Finistère,29 is the number of the French department of Finistère.,False
29,the number of suras in the Qur'an that begin with muqatta'at,29 is the number of suras in the Qur'an that begin with muqatta'at.,False
29,"the number of letters in the Turkish,Finnish, Swedish,Faroese,Danish and Norwegianalphabets","29 is the number of letters in the Turkish,Finnish, Swedish,Faroese,Danish and Norwegianalphabets.",False
29,the number of Knuts in one Sickle in the fictional currency in the Harry Potter novels,29 is the number of Knuts in one Sickle in the fictional currency in the Harry Potter novels.,False
29,"Marine Corps Air Ground Combat Center Twentynine Palms, affectionately referred to by Marines as ""Twentynine Stumps""","29 is Marine Corps Air Ground Combat Center Twentynine Palms, affectionately referred to by Marines as ""Twentynine Stumps"".",False
29,the retired jersey number of Rod Carew,29 is the retired jersey number of Rod Carew.,False
29,the Olympiad number of the 2008 Summer Olympics,29 is the Olympiad number of the 2008 Summer Olympics.,False
29,the retired S.L,29 is the retired S.L.,False
29,"the number of CMS Baseball Star John ""Zach"" ""Jay-Z"" England","29 is the number of CMS Baseball Star John ""Zach"" ""Jay-Z"" England.",False
29,the highest possible score in a hand of Cribbage or Khanhoo,29 is the highest possible score in a hand of Cribbage or Khanhoo.,False
29,the atomic number of copper,29 is the atomic number of copper.,False
29,the number of days February has in leap years,29 is the number of days February has in leap years.,False
4,the resin identification code used in recycling to identify low-density polyethylene,4 is the resin identification code used in recycling to identify low-density polyethylene.,False
4,"it is the number of bits in a nibble, equivalent to half a byte","4 is it is the number of bits in a nibble, equivalent to half a byte.",False
4,Jonathan Lowe (E.J,4 is Jonathan Lowe (E.J.,False
4,"greek classical elements (fire, air, water, earth)","4 is greek classical elements (fire, air, water, earth).",False
4,cardinal principles,4 is cardinal principles.,False
4,the number of movements in a symphony,4 is the number of movements in a symphony.,False
4,"the number of completed, numbered symphonies by Johannes Brahms","4 is the number of completed, numbered symphonies by Johannes Brahms.",False
4,"the number of strings on a violin, a viola, a cello, double bass, a cuatro and a ukulele, and the number of string pairs on a mandolin","4 is the number of strings on a violin, a viola, a cello, double bass, a cuatro and a ukulele, and the number of string pairs on a mandolin.",False
4,the Roman numeral IV stands for subgiant in the Yerkes spectral classification scheme,4 is the Roman numeral IV stands for subgiant in the Yerkes spectral classification scheme.,False
4,the atomic number of beryllium,4 is the atomic number of beryllium.,False
8,the number of Beatitudes,8 is the number of Beatitudes.,False
8,"in Islam, It is the number of Angels carrying The Holy Throne of Allah in heavens","8 is in Islam, It is the number of Angels carrying The Holy Throne of Allah in heavens.",False
8,"in Hinduism, it is the number of wealth, abundance","8 is in Hinduism, it is the number of wealth, abundance.",False
8,"in nuclear physics, the second magic number","8 is in nuclear physics, the second magic number.",False
8,the Saros number of the lunar eclipse series which began on 2512 BCE 27 July and ended on 961 BCE 13 February,8 is the Saros number of the lunar eclipse series which began on 2512 BCE 27 July and ended on 961 BCE 13 February.,False
8,the atomic number of oxygen,8 is the atomic number of oxygen.,False
8,the number of allotropes of carbon,8 is the number of allotropes of carbon.,False
8,the maximum number of electrons that can occupy a valence shell,8 is the maximum number of electrons that can occupy a valence shell.,False
8,"the Octonions, John C. Baez","8 is the Octonions, John C. Baez.",False
8,the ordinal adjective is octaval or octavary,8 is the ordinal adjective is octaval or octavary.,False
8,the distributive adjective is octonary,8 is the distributive adjective is octonary.,False
59,"and with Him are the keys of the unseen treasures—none knows them but He; and He knows what is in the land and the sea, and there falls not a leaf but He knows it, nor a grain in the darkness of the earth, nor anything green nor dry but (it is all) in a clear book","59 is and with Him are the keys of the unseen treasures—none knows them but He; and He knows what is in the land and the sea, and there falls not a leaf but He knows it, nor a grain in the darkness of the earth, nor anything green nor dry but (it is all) in a clear book.",False
59,"Lowest score recorded at MGC Invitational in Branson, MO","59 is Lowest score recorded at MGC Invitational in Branson, MO.",False
59,"the number corresponding to the last minute in a given hour, and the last second in a given minute","59 is the number corresponding to the last minute in a given hour, and the last second in a given minute.",False
59,approximately the number of days in two lunar months,59 is approximately the number of days in two lunar months.,False
59,the number of the French department Nord,59 is the number of the French department Nord.,False
59,"the atomic number of praseodymium, a lanthanide","59 is the atomic number of praseodymium, a lanthanide.",False
59,"the Saros number of the solar eclipse series which began in June, 1031 BC June and ended in July, 249 AD","59 is the Saros number of the solar eclipse series which began in June, 1031 BC June and ended in July, 249 AD.",False
59,"the Saros number of the lunar eclipse series which began in March, 729 BC and ended in May, 569 AD","59 is the Saros number of the lunar eclipse series which began in March, 729 BC and ended in May, 569 AD.",False
58,"the atomic number of cerium, a lanthanide","58 is the atomic number of cerium, a lanthanide.",False
58,the Saros number of the solar eclipse series which began on 1114 BC BC June and ended on 166 July,58 is the Saros number of the solar eclipse series which began on 1114 BC BC June and ended on 166 July.,False
58,the Saros number of the lunar eclipse series which began on 812 BC BC March and ended on 486 May,58 is the Saros number of the lunar eclipse series which began on 812 BC BC March and ended on 486 May.,False
58,the Alabama county code for Shelby County,58 is the Alabama county code for Shelby County.,False
58,the Ohio county code for Morgan County,58 is the Ohio county code for Morgan County.,False
58,the code for international direct dial phone calls to Venezuela,58 is the code for international direct dial phone calls to Venezuela.,False
58,the number of usable cells on a Hexxagon game board,58 is the number of usable cells on a Hexxagon game board.,False
58,the number of counties in California,58 is the number of counties in California.,False
58,the minimum wind speed (mph) needed to issue a Severe Thunderstorm Warning,58 is the minimum wind speed (mph) needed to issue a Severe Thunderstorm Warning.,False
58,the number of the French department Nièvre,58 is the number of the French department Nièvre.,False
55,the highest speed limit allowed in the United States between 1974 and 1986 per the National Maximum Speed Law,55 is the highest speed limit allowed in the United States between 1974 and 1986 per the National Maximum Speed Law.,False
55,"in many states of the United States, a very common speed limit for rural secondary roads and many urban freeways","55 is in many states of the United States, a very common speed limit for rural secondary roads and many urban freeways.",False
55,year identifier used on motor vehicles registered in the UK between 1st September 2005 and 28th February 2006,55 is year identifier used on motor vehicles registered in the UK between 1st September 2005 and 28th February 2006.,False
55,the atomic number of caesium,55 is the atomic number of caesium.,False
55,"in US gallons, a standard size of drum; see 44 gallon drum","55 is in US gallons, a standard size of drum; see 44 gallon drum.",False
55,"a song produced by Group X was called ""Schfifty Five""","55 is a song produced by Group X was called ""Schfifty Five"".",False
55,the name of a song by British Indie Rock Band Kasabian,55 is the name of a song by British Indie Rock Band Kasabian.,False
55,Andrew W.K,55 is Andrew W.K.,False
55,the number of Delegates who attended the United States Constitutional Convention in 1787,55 is the number of Delegates who attended the United States Constitutional Convention in 1787.,False
55,Adolf Hitler was the fifty-fifth member of the National Socialist German Workers Party,55 is Adolf Hitler was the fifty-fifth member of the National Socialist German Workers Party.,False
55,the number of the French department Meuse,55 is the number of the French department Meuse.,False
55,the code for international direct dial phone calls to Brazil,55 is the code for international direct dial phone calls to Brazil.,False
54,the number used when a player is defeated 3 games in a row in racquetball,54 is the number used when a player is defeated 3 games in a row in racquetball.,False
54,the number of milligrams of caffeine Mountain Dew has,54 is the number of milligrams of caffeine Mountain Dew has.,False
54,a broadcast television channel number,54 is a broadcast television channel number.,False
54,the number of the French department Meurthe-et-Moselle,54 is the number of the French department Meurthe-et-Moselle.,False
54,"the number of cards in a deck of playing cards, if two jokers are included","54 is the number of cards in a deck of playing cards, if two jokers are included.",False
54,the number of countries in Africa,54 is the number of countries in Africa.,False
54,year identifier used on motor vehicles registered in the UK between 1 September 2004 and 28 February 2005,54 is year identifier used on motor vehicles registered in the UK between 1 September 2004 and 28 February 2005.,False
54,"six by nine, the incorrect Answer to the Ultimate Question of Life, the Universe, and Everything","54 is six by nine, the incorrect Answer to the Ultimate Question of Life, the Universe, and Everything.",False
54,the Saros number of the solar eclipse series which began on -1284 July 25 and ended on 32 September,54 is the Saros number of the solar eclipse series which began on -1284 July 25 and ended on 32 September.,False
54,the Saros number of the lunar eclipse series which began on -964 May 14 and ended on 334 July,54 is the Saros number of the lunar eclipse series which began on -964 May 14 and ended on 334 July.,False
57,"the atomic number of Lanthanum, the first of the Lanthanides","57 is the atomic number of Lanthanum, the first of the Lanthanides.",False
57,the Saros cycle number of the solar eclipse series which began on -1161 June 17 and ended on 137 August,57 is the Saros cycle number of the solar eclipse series which began on -1161 June 17 and ended on 137 August.,False
57,the Saros cycle number of the lunar eclipse series which began on -823 April 16 and ended on 475 June,57 is the Saros cycle number of the lunar eclipse series which began on -823 April 16 and ended on 475 June.,False
57,summer of Fifty Seven by Stephen C. Joseph,57 is summer of Fifty Seven by Stephen C. Joseph.,False
57,a Boy Scout Troop from the Des Plaines Valley Council,57 is a Boy Scout Troop from the Des Plaines Valley Council.,False
57,the number of the French department Moselle,57 is the number of the French department Moselle.,False
57,the code for international direct dial phone calls to Colombia,57 is the code for international direct dial phone calls to Colombia.,False
57,the model name of a Maybach car,57 is the model name of a Maybach car.,False
57,"a fast food dinner in Pereira, Colombia","57 is a fast food dinner in Pereira, Colombia.",False
56,the number of counties in the state of Montana,56 is the number of counties in the state of Montana.,False
56,"in baseball, the number of consecutive games in which New York Yankees' Joe DiMaggio had a base hit in 1941, still a record","56 is in baseball, the number of consecutive games in which New York Yankees' Joe DiMaggio had a base hit in 1941, still a record.",False
56,the atomic number of barium,56 is the atomic number of barium.,False
56,the code for international direct dial phone calls to Chile,56 is the code for international direct dial phone calls to Chile.,False
56,"Number of times the word ""Yeah"" is used by Michael Stipe from the band R.E.M","56 is Number of times the word ""Yeah"" is used by Michael Stipe from the band R.E.M.",False
56,"the number of times the word ""Yeah"" is used in the song ""Lithium"" by Nirvana","56 is the number of times the word ""Yeah"" is used in the song ""Lithium"" by Nirvana.",False
56,the name of a Plexi song,56 is the name of a Plexi song.,False
56,the Saros number of the solar eclipse series which began on -1172 July 17 and ended on 144 September,56 is the Saros number of the solar eclipse series which began on -1172 July 17 and ended on 144 September.,False
56,the Saros number of the lunar eclipse series which began on -852 May 7 and ended on 428 June,56 is the Saros number of the lunar eclipse series which began on -852 May 7 and ended on 428 June.,False
56,the number of Aubrey Holes (thought to have located wooden posts) in the first stage of Stonehenge,56 is the number of Aubrey Holes (thought to have located wooden posts) in the first stage of Stonehenge.,False
56,the number of men who signed the United States Declaration of Independence in 1776,56 is the number of men who signed the United States Declaration of Independence in 1776.,False
51,the code for international direct dial phone calls to Peru,51 is the code for international direct dial phone calls to Peru.,False
51,a brand of pastis (anise liqueur) manufactured by Pernod Ricard,51 is a brand of pastis (anise liqueur) manufactured by Pernod Ricard.,False
51,"Pixar's film Cars tells about a rookie racecar, Lightning McQueen who crashes into Radiator Springs, a town on Highway 66","51 is Pixar's film Cars tells about a rookie racecar, Lightning McQueen who crashes into Radiator Springs, a town on Highway 66.",False
51,the number of the French department Marne,51 is the number of the French department Marne.,False
51,year identifier used on motor vehicles registered in the UK between 1 September 2001 and 28 February 2002,51 is year identifier used on motor vehicles registered in the UK between 1 September 2001 and 28 February 2002.,False
51,the station number and apparatus numbers from the TV series Emergency!,51 is the station number and apparatus numbers from the TV series Emergency!.,False
51,the atomic number of antimony,51 is the atomic number of antimony.,False
51,the Saros number of the solar eclipse series which began on -1407 September 2 and ended on +108 February 29,51 is the Saros number of the solar eclipse series which began on -1407 September 2 and ended on +108 February 29.,False
50,the traditional number of years in a jubilee period,50 is the traditional number of years in a jubilee period.,False
50,5-O (Five-Oh) - Slang for police officers and/or a warning that police are approaching,50 is 5-O (Five-Oh) - Slang for police officers and/or a warning that police are approaching.,False
50,"in millimeters, the focal length of the normal lens in 35 mm photography","50 is in millimeters, the focal length of the normal lens in 35 mm photography.",False
50,"in years of marriage, the gold or ""golden"" wedding anniversary","50 is in years of marriage, the gold or ""golden"" wedding anniversary.",False
50,"the speed limit, in kilometers per hour, of Australian roads with unspecified limits","50 is the speed limit, in kilometers per hour, of Australian roads with unspecified limits.",False
50,the atomic number of tin,50 is the atomic number of tin.,False
50,the fifth magic number in nuclear physics,50 is the fifth magic number in nuclear physics.,False
53,"the racing number of Herbie, a Volkswagen Beetle with a mind of his own, first appearing in the 1969 film The Love Bug","53 is the racing number of Herbie, a Volkswagen Beetle with a mind of his own, first appearing in the 1969 film The Love Bug.",False
53,the code for international direct dial phone calls to Cuba,53 is the code for international direct dial phone calls to Cuba.,False
53,"part of the title of the 1912 movie North of Fifty Three, remade in 1917","53 is part of the title of the 1912 movie North of Fifty Three, remade in 1917.",False
53,the number of the department in France called Mayenne,53 is the number of the department in France called Mayenne.,False
53,year identifier used on motor vehicles registered in the UK between 1 September 2003 and 28 February 2004,53 is year identifier used on motor vehicles registered in the UK between 1 September 2003 and 28 February 2004.,False
53,the number of bytes in an Asynchronous Transfer Mode packet,53 is the number of bytes in an Asynchronous Transfer Mode packet.,False
53,UDP and TCP port number for the Domain Name System protocol,53 is UDP and TCP port number for the Domain Name System protocol.,False
53,the atomic number of iodine,53 is the atomic number of iodine.,False
53,"the Saros number of the solar eclipse series which began on August 26, 1295 BC and ended on February 21, 220","53 is the Saros number of the solar eclipse series which began on August 26, 1295 BC and ended on February 21, 220.",False
53,"the Saros number of the lunar eclipse series which began on June 5, 993 BC and ended on July 12, 287 ","53 is the Saros number of the lunar eclipse series which began on June 5, 993 BC and ended on July 12, 287 .",False
53,the maximum number of players on a National Football League roster,53 is the maximum number of players on a National Football League roster.,False
53,racing number of F1 Stockcars (UK)racer John Lund,53 is racing number of F1 Stockcars (UK)racer John Lund.,False
53,"most points by a rookie in a NBA Playoff game, by Philadelphia's Wilt Chamberlain, 1960","53 is most points by a rookie in a NBA Playoff game, by Philadelphia's Wilt Chamberlain, 1960.",False
53,"most field goals (3-games series, NBA Playoff), by Michael Jordan, 1992","53 is most field goals (3-games series, NBA Playoff), by Michael Jordan, 1992.",False
53,Retired jersey number of Utah Jazz Mark Eaton,53 is Retired jersey number of Utah Jazz Mark Eaton.,False
53,total number of national football associations of UEFA,53 is total number of national football associations of UEFA.,False
52,the approximate number of weeks in a year,52 is the approximate number of weeks in a year.,False
52,a significant number in the Maya calendar,52 is a significant number in the Maya calendar.,False
52,"on the piano, the number of white keys (notes in the C major scale)","52 is on the piano, the number of white keys (notes in the C major scale).",False
52,"the number of cards in a standard deck of playing cards, not counting Jokers or advertisement cards","52 is the number of cards in a standard deck of playing cards, not counting Jokers or advertisement cards.",False
52,the jersey number of Panthers offensive lineman Samuel Morris,52 is the jersey number of Panthers offensive lineman Samuel Morris.,False
52,the code for international direct dial phone calls to Mexico,52 is the code for international direct dial phone calls to Mexico.,False
52,"the number of letters in the English alphabet, if majuscules are distinguished from minuscules","52 is the number of letters in the English alphabet, if majuscules are distinguished from minuscules.",False
52,the number of the French department Haute-Marne,52 is the number of the French department Haute-Marne.,False
52,the atomic number of tellurium,52 is the atomic number of tellurium.,False
52,the Saros number of the solar eclipse series which began on -1378 August 14 and ended on 155 February,52 is the Saros number of the solar eclipse series which began on -1378 August 14 and ended on 155 February.,False
88,the number of constellations in the sky as defined by the International Astronomical Union,88 is the number of constellations in the sky as defined by the International Astronomical Union.,False
88,the Saros number of the solar eclipse series which began on -246 October 6 and ended on 1233 March,88 is the Saros number of the solar eclipse series which began on -246 October 6 and ended on 1233 March.,False
88,approximately the number of days it takes Mercury to complete its orbit,88 is approximately the number of days it takes Mercury to complete its orbit.,False
88,"in mm, a standard length of playing cards","88 is in mm, a standard length of playing cards.",False
88,a popular ice cream bar manufactured by GB Glace,88 is a popular ice cream bar manufactured by GB Glace.,False
88,the atomic number of radium,88 is the atomic number of radium.,False
88,the ASCII code for an upper-case X,88 is the ASCII code for an upper-case X.,False
88,"the number of keys on a piano (36 black and 52 white), a piano is sometimes called an ""eighty eight""","88 is the number of keys on a piano (36 black and 52 white), a piano is sometimes called an ""eighty eight"".",False
88,the digits indicated when all the segments of two seven-segment displays are illuminated,88 is the digits indicated when all the segments of two seven-segment displays are illuminated.,False
88,"Eighty Eight, a live album by the Christian rock band The 77s","88 is Eighty Eight, a live album by the Christian rock band The 77s.",False
88,the number of the French department Vosges,88 is the number of the French department Vosges.,False
88,"the town of Eighty Eight, Kentucky","88 is the town of Eighty Eight, Kentucky.",False
88,the ISBN Group Identifier for books published in Italy and Switzerland,88 is the ISBN Group Identifier for books published in Italy and Switzerland.,False
88,"in miles per hour, the speed that the DeLorean automobile must attain in order to travel in time, in the Back to the Future trilogy","88 is in miles per hour, the speed that the DeLorean automobile must attain in order to travel in time, in the Back to the Future trilogy.",False
